ID,Ingreso,Compras_Mensuales,Gasto_Por_Compra,Productos_Por_Compra,Beneficios,,,,
1000066,76916.33,7,2497.98,68,0%,,,,
1000067,73078.28,4,2692.99,34,20%,,,,
1000068,74232.67,8,3218.23,51,20%,,,,
1000069,79431.94,9,3144.3,45,20%,,,,
1000070,77972.33,12,3297.79,64,20%,,,,
1000071,80032.85,3,4034.75,75,20%,,,,
1000072,73888,8,2561.43,57,0%,,,,
1000073,76563.78,3,3438.45,51,20%,,,,
1000074,70391.88,6,3203.32,79,20%,,,,
1000075,76450.52,10,3092.16,64,20%,,,,
1000076,73473.77,9,3958.28,52,20%,,,,
1000077,73206.49,8,2830.25,50,20%,,,,
1000078,74231.9,8,2896.04,62,20%,,,,
1000079,76638.4,6,3866.18,58,20%,,,,
1000080,70126.16,9,2834.65,41,20%,,,,
1000081,76215.21,3,2783.18,66,20%,,,,
1000082,73021.99,10,3148.18,62,20%,,,,
1000083,77428.77,5,2651.22,44,0%,,,,
1000084,74906.17,6,3751.88,77,20%,,,,
1000085,78446.52,4,3371.66,55,20%,,,,
1000086,72641.44,7,4424.67,33,20%,,,,
1000087,81210.16,4,0,44,0%,,,,
1000088,74771.02,6,3077.06,87,20%,,,,
1000089,76668.57,8,3402.58,75,20%,,,,
1000090,71348.96,6,3223.65,87,20%,,,,
1000091,73307.74,8,3321.34,54,20%,,,,
1000092,75675.74,7,4262.9,40,20%,,,,
1000093,78050.77,8,3149.95,43,20%,,,,
1000094,76841.52,13,2384.98,65,0%,,,,
1000095,72656.45,10,3094.67,63,20%,,,,
1000096,73405.56,5,2861.64,65,20%,,,,
1000097,75782.47,2,2978.13,50,20%,,,,
1000098,74983.41,0,3225.97,54,20%,,,,
1000099,79282.11,15,3535.51,40,20%,,,,
1000100,68729.98,7,3437.46,69,20%,,,,
1000101,72345.61,10,4096.21,60,20%,,,,
1000102,74151.37,3,3223.63,58,20%,,,,
1000103,66967.2,7,3265.69,40,20%,,,,
1000104,72510.52,9,2558.67,66,0%,,,,
1000105,72282.78,10,4055.82,43,20%,,,,
1000106,76595.21,9,3381.32,43,20%,,,,
1000107,78885.23,6,3328.17,79,20%,,,,
1000108,74806.15,4,3840.12,78,20%,,,,
1000109,77090.55,6,2716.38,59,20%,,,,
1000110,68666.36,10,2590.91,67,0%,,,,
1000111,74065.98,5,3533.93,53,20%,,,,
1000112,73600.74,10,3126.89,51,20%,,,,
1000113,77893.54,12,3774.55,91,20%,,,,
1000114,82034.99,10,3321.22,62,20%,,,,
1000115,71958.44,10,3396.11,46,20%,,,,
1000116,74245.33,5,2583.29,65,0%,,,,
1000117,66566.66,6,3369.09,78,20%,,,,
1000117,66566.66,6,3369.09,64,20%,,,,
1000118,73146.91,4,3421.4,68,20%,,,,
1000119,73360.98,5,2872.75,59,20%,,,,
1000120,76790.1,9,2933.92,77,20%,,,,
1000121,76720.37,6,3228.48,66,20%,,,,
1000122,67399.4,9,3332.73,52,20%,,,,
1000123,78702.21,10,3564.56,67,20%,,,,
1000124,75273.16,5,3022.3,65,20%,,,,
1000125,69622.82,7,3087.02,53,20%,,,,
1000126,71757.15,9,2733.94,52,20%,,,,
1000127,71365.76,6,2914.26,69,20%,,,,
1000128,68648.34,9,2884.57,76,20%,,,,
1000129,72504,6,3334.27,58,20%,,,,
1000130,69601.14,10,2144.48,55,0%,,,,
1000131,68677.77,3,3518.58,69,20%,,,,
1000132,76005.74,5,3628.07,62,20%,,,,
1000133,74263.8,9,2711.76,74,20%,,,,
1000134,71489.95,2,2975.06,58,20%,,,,
1000135,79182.23,13,3720.79,68,20%,,,,
1000136,76022.86,9,3163.14,60,20%,,,,
1000137,69375.22,9,3065.02,62,20%,,,,
1000138,78793.23,8,2903.58,81,20%,,,,
1000139,70076.51,5,3363.66,60,20%,,,,
1000140,75115.68,6,3269.89,75,20%,,,,
1000141,71025.5,5,3336.85,44,20%,,,,
1000142,76073.05,9,2762.68,54,20%,,,,
1000143,70652.88,8,3447.97,79,20%,,,,
1000144,75832.07,4,2653.51,84,0%,,,,
1000145,75784.09,12,2952.9,42,20%,,,,
1000146,75191.36,12,2783.68,54,20%,,,,
1000147,69819.33,7,2413.06,64,0%,,,,
1000148,69522.69,12,3912.97,73,20%,,,,
1000149,80468.31,14,2888.69,66,20%,,,,
1000150,76288.61,10,3411.39,75,20%,,,,
1000151,78491.24,7,4305.52,64,20%,,,,
1000152,73297.52,11,2321.53,81,0%,,,,
1000153,73526.99,11,2378.12,38,0%,,,,
1000154,73551.82,6,2860.3,42,20%,,,,
1000155,78388.88,8,3380.69,74,20%,,,,
1000156,71421.2,2,2133.34,75,0%,,,,
1000157,73821.5,8,2989.73,54,20%,,,,
1000158,75872.57,9,2508.45,56,0%,,,,
1000159,77362.02,4,3139.17,49,20%,,,,
1000160,69712.74,4,3234.18,48,20%,,,,
1000161,80783.88,9,3712.24,52,20%,,,,
1000162,70834.54,14,3208.57,69,20%,,,,
1000163,74534.9,5,3423.58,78,20%,,,,
1000164,84112.13,7,3391.12,52,20%,,,,
1000165,76044.81,7,2986.83,73,20%,,,,
1000166,75438.56,9,3171.86,55,20%,,,,
1000167,71276.46,9,3610.19,57,20%,,,,
1000168,73553.09,5,3211.87,60,20%,,,,
1000169,72010.07,4,3070.58,70,20%,,,,
1000170,79949.62,2,3969.81,39,20%,,,,
1000171,73648.25,7,3203.26,44,20%,,,,
1000172,76670.54,11,2698.62,43,20%,,,,
1000173,73019.59,11,3391.27,50,20%,,,,
1000174,79459.78,14,2476.14,35,0%,,,,
1000175,78384.22,0,2684.35,60,0%,,,,
1000176,75586.78,6,3614.44,53,20%,,,,
1000177,72010.45,13,2871.06,58,20%,,,,
1000178,79635.65,8,3175.25,39,20%,,,,
1000179,79464.6,8,3651.72,65,20%,,,,
1000180,80835.67,7,3784.85,66,20%,,,,
1000181,68425.41,8,3349.84,66,20%,,,,
1000182,74802.06,8,3655.81,53,20%,,,,
1000183,73924.9,9,2684.08,55,0%,,,,
1000184,71010.31,5,2829.57,80,20%,,,,
1000185,76359.74,9,3163.15,75,20%,,,,
1000186,73571.8,14,3238.59,44,20%,,,,
1000187,73315.06,14,2724.52,47,20%,,,,
1000188,66717.06,6,3457.78,71,20%,,,,
1000189,77135.74,11,3932.14,70,20%,,,,
1000190,70090.37,9,3705.74,79,20%,,,,
1000191,82727.11,10,3712.6,53,20%,,,,
1000192,72605.47,6,2688.13,50,0%,,,,
1000193,76686.92,1,3133.5,56,20%,,,,
1000194,74845.14,4,3202.99,82,20%,,,,
1000195,75053.32,7,3609.92,69,20%,,,,
1000196,77751.46,10,3114.95,61,20%,,,,
1000197,74057.62,9,3487.57,38,20%,,,,
1000198,71709.26,6,2874.51,70,20%,,,,
1000199,80575.99,7,2999.99,58,20%,,,,
1000200,70556.71,7,3581.74,42,20%,,,,
1000201,76196.04,11,3472.83,51,20%,,,,
1000202,69445.66,13,2233.49,71,0%,,,,
1000203,75844.08,5,2016.42,67,0%,,,,
1000204,70076.65,9,3421.59,51,20%,,,,
1000205,73165.21,10,3636.17,50,20%,,,,
1000206,77308.55,8,2946.6,59,20%,,,,
1000207,77563.4,11,4134.47,52,20%,,,,
1000208,76078.44,4,3724.39,63,20%,,,,
1000209,75275.18,6,3290.73,62,20%,,,,
1000210,75349.67,9,2503.31,70,0%,,,,
1000211,77013.43,3,2470.6,73,0%,,,,
1000211,77013.43,3,2470.6,88,0%,,,,
1000212,71462.23,8,3386.94,53,20%,,,,
1000213,72099.38,10,4141.65,47,20%,,,,
1000214,73918.73,5,3343.64,65,20%,,,,
1000215,75119.13,7,4436.29,65,20%,,,,
1000216,77222.17,9,3923.11,70,20%,,,,
1000217,71460.77,8,2504.1,61,0%,,,,
1000218,77079.24,16,3171.29,57,20%,,,,
1000219,74759.98,11,2428.41,74,0%,,,,
1000220,69914.4,6,3730.98,71,20%,,,,
1000221,75841.12,7,2937.35,59,20%,,,,
1000222,81675.9,6,3627.71,63,20%,,,,
1000223,75198.47,4,3027.26,78,20%,,,,
1000224,71958.57,8,4276.63,45,20%,,,,
1000225,76952.65,7,3369.47,63,20%,,,,
1000226,77705.09,2,3292.41,78,20%,,,,
1000227,74326.71,8,3859.85,50,20%,,,,
1000228,75074.82,11,2984.4,63,20%,,,,
1000229,70483.56,9,4132.38,75,20%,,,,
1000230,78371.61,10,2742.49,65,20%,,,,
1000231,80262.66,7,3131.93,49,20%,,,,
1000232,71637.99,8,2969.74,60,20%,,,,
1000233,75882.69,10,2687.91,46,0%,,,,
1000234,75571.7,6,3126.04,70,20%,,,,
1000235,73756.63,8,3065.94,64,20%,,,,
1000236,73403.51,10,3305.27,36,20%,,,,
1000237,74440.01,7,3644.19,30,20%,,,,
1000238,75539.71,1,3624.88,65,20%,,,,
1000239,71326.82,12,4031.42,57,20%,,,,
1000240,75002.79,7,3994.09,65,20%,,,,
1000241,67984.01,7,3377.89,48,20%,,,,
1000242,68398.87,5,3704.19,72,20%,,,,
1000243,73098.91,11,3810.62,42,20%,,,,
1000244,77764.89,10,2847.25,67,20%,,,,
1000245,75372.11,13,3631.36,71,20%,,,,
1000246,73631.26,9,2499.38,47,0%,,,,
1000247,73699.25,5,3023.62,65,20%,,,,
1000248,73889.66,3,3407.63,69,20%,,,,
1000249,73457.47,5,2999.55,59,20%,,,,
1000250,67572.37,13,2445.86,77,0%,,,,
1000251,76577.09,5,3136.97,62,20%,,,,
1000252,77511,7,2401.01,69,0%,,,,
1000253,76580.87,2,2462.11,47,0%,,,,
1000254,71892.5,15,3186.37,62,20%,,,,
1000255,75846.66,4,3373.85,62,20%,,,,
1000256,77725.97,9,3430.64,66,20%,,,,
1000257,78255.11,11,2729.82,61,20%,,,,
1000258,74660.35,4,2656.53,63,0%,,,,
1000259,80173.68,13,3283.66,78,20%,,,,
1000259,80173.68,13,3283.66,48,20%,,,,
1000260,78976.21,7,3802.79,52,20%,,,,
1000261,75610.22,12,3089.64,62,20%,,,,
1000262,75373.78,5,3082.63,58,20%,,,,
1000263,76841.62,13,3049.5,62,20%,,,,
1000264,82508.57,5,3630.43,63,20%,,,,
1000265,74474.87,7,3199.79,41,20%,,,,
1000266,74108.52,6,2616.11,67,0%,,,,
1000267,79088.2,10,3229.29,68,20%,,,,
1000268,73360.89,12,2341.59,79,0%,,,,
1000269,73743.94,9,3585.13,51,20%,,,,
1000270,75235.17,12,4000.96,62,20%,,,,
1000271,74354.94,8,2578.35,65,0%,,,,
1000272,72008,6,3457.27,62,20%,,,,
1000273,71275.45,7,3727.64,67,20%,,,,
1000274,73107.37,14,3773.99,54,20%,,,,
1000275,75575.72,8,3445.12,59,20%,,,,
1000276,73366.15,11,3171.49,52,20%,,,,
1000277,75251.34,7,2673.7,62,0%,,,,
1000278,69348.36,12,4160.1,54,20%,,,,
1000279,78580.43,6,3686.34,65,20%,,,,
1000280,69583.82,5,3532.13,73,20%,,,,
1000281,75711.47,7,4560.76,55,20%,,,,
1000282,79616.84,6,4396.65,57,20%,,,,
1000283,71634.62,7,3336.55,68,20%,,,,
1000284,73379.06,9,3647.5,79,20%,,,,
1000285,73790.91,4,3474.29,74,20%,,,,
1000286,76599.48,5,2446.54,48,0%,,,,
1000287,74131.43,3,2538.13,67,0%,,,,
1000288,73167.98,11,2735.19,48,20%,,,,
1000289,76747.6,5,3012.55,72,20%,,,,
1000290,78573.88,6,2835.27,50,20%,,,,
1000291,71265.73,5,2918.31,79,20%,,,,
1000292,78120.19,6,3275.05,52,20%,,,,
1000293,80658.57,10,4735.14,52,20%,,,,
1000294,80451.2,11,2360.74,55,0%,,,,
1000295,72261.84,6,2730.9,79,20%,,,,
1000296,70738.36,7,3632.76,64,20%,,,,
1000297,77869.92,11,4666.05,63,20%,,,,
1000298,73816.38,6,3462.82,66,20%,,,,
1000299,77194.37,5,3365.61,51,20%,,,,
1000300,78189.98,8,2177.41,61,0%,,,,
1000301,70875.42,12,2869.63,67,20%,,,,
1000302,71853.48,10,4147.15,65,20%,,,,
1000303,79260.47,3,3169.85,62,20%,,,,
1000304,79238.65,8,3799.9,70,20%,,,,
1000305,76417.54,4,2544.7,69,0%,,,,
1000306,68634.4,8,3785.93,41,20%,,,,
1000307,74464.08,7,4576.18,41,20%,,,,
1000308,77490.84,7,2296.81,60,0%,,,,
1000309,75034.17,11,3561.13,82,20%,,,,
1000310,75570.22,5,3303.52,38,20%,,,,
1000311,71399.82,11,3380.54,62,20%,,,,
1000312,77361.43,13,2389.3,75,0%,,,,
1000313,71050.91,9,3001.19,51,20%,,,,
1000314,69952.31,8,3569,62,20%,,,,
1000315,79192.45,9,3072.93,68,20%,,,,
1000316,70710.9,9,3746.2,63,20%,,,,
1000317,71818.23,7,2276.39,35,0%,,,,
1000318,68032.74,3,3499.79,56,20%,,,,
1000319,64450.58,5,3845.65,70,20%,,,,
1000320,72792.09,8,2524.3,59,0%,,,,
1000321,78108.64,9,2977.5,62,20%,,,,
1000322,71697.84,8,2184.29,57,0%,,,,
1000323,68165.44,6,2868.22,51,20%,,,,
1000324,78274.77,5,3031.79,102,20%,,,,
1000325,71554.44,4,3580.67,83,20%,,,,
1000326,79607.45,6,3267.96,66,20%,,,,
1000327,77322.53,4,3049.62,61,20%,,,,
1000328,79962.23,13,3442.3,44,20%,,,,
1000329,75591.77,4,3081.49,59,20%,,,,
1000330,79316.62,6,2913.04,70,20%,,,,
1000331,70368.04,3,3902.76,50,20%,,,,
1000332,70073.13,10,3601.01,63,20%,,,,
1000333,70886.67,10,2447.26,60,0%,,,,
1000334,76828.16,2,3609.66,45,20%,,,,
1000335,77162.79,4,3744.3,53,20%,,,,
1000336,67439.92,7,3138.93,46,20%,,,,
1000337,72902.46,6,3852.37,58,20%,,,,
1000338,74040.34,4,2984.9,63,20%,,,,
1000339,70803.46,9,2753.38,60,20%,,,,
1000340,78474.49,4,3200.22,71,20%,,,,
1000341,73064.91,6,3573.64,43,20%,,,,
1000342,74300.58,9,3217.48,61,20%,,,,
1000343,76462.61,10,3981.79,52,20%,,,,
1000344,74871.43,12,2552.28,51,0%,,,,
1000345,70198.93,10,2929.82,71,20%,,,,
1000346,72744.76,9,2742.41,47,20%,,,,
1000347,74147.1,6,3208.44,43,20%,,,,
1000348,77597.73,4,3297,78,20%,,,,
1000349,73809.24,8,3322.56,55,20%,,,,
1000350,70696.91,6,3092.08,65,20%,,,,
1000351,75752.45,5,3321.94,75,20%,,,,
1000352,74635.04,8,2558.32,98,0%,,,,
1000353,77777.99,5,3297.73,52,20%,,,,
1000354,80539.76,12,3258.1,73,20%,,,,
1000355,72614.82,3,2574.62,82,0%,,,,
1000356,78631.94,4,4026.57,90,20%,,,,
1000356,78631.94,4,4026.57,68,20%,,,,
1000357,71939.5,7,3443.14,51,20%,,,,
1000358,67538.04,12,3784.92,58,20%,,,,
1000359,72264.13,6,2272.29,62,0%,,,,
1000360,78155.05,7,3084.39,51,20%,,,,
1000361,77351.11,11,3373.1,63,20%,,,,
1000362,78906.02,3,4210.45,34,20%,,,,
1000363,70685,8,3374.86,70,20%,,,,
1000364,68446.31,12,3861.72,65,20%,,,,
1000365,73281.2,5,3593.82,71,20%,,,,
1000366,72939.19,13,2814.81,73,20%,,,,
1000367,75747.21,8,2945.87,57,20%,,,,
1000368,78224.19,5,2984.76,57,20%,,,,
1000369,74150.18,5,2346.69,70,0%,,,,
1000370,69548.28,12,2572.25,78,0%,,,,
1000371,70391.78,13,3610.01,30,20%,,,,
1000372,80279.68,4,4075.33,58,20%,,,,
1000373,78739.68,12,3569.67,62,20%,,,,
1000374,68823.89,6,2256.51,58,0%,,,,
1000375,77953.68,15,2469.55,56,0%,,,,
1000376,71192.48,4,3321.43,53,20%,,,,
1000377,74560.07,7,3483.51,45,20%,,,,
1000378,77644.33,12,2856.87,62,20%,,,,
1000379,80750.23,6,3036.67,44,20%,,,,
1000380,77336.41,6,3269.07,46,20%,,,,
1000381,71898.01,6,3222.5,62,20%,,,,
1000382,70199.19,8,2902,65,20%,,,,
1000383,77604.17,3,3119.63,58,20%,,,,
1000384,76055.58,8,3192.56,61,20%,,,,
1000385,72726.99,5,3657.3,48,20%,,,,
1000386,71228.75,8,3036.02,79,20%,,,,
1000387,77501.31,9,4336.57,64,20%,,,,
1000388,69291.31,6,2779.25,57,20%,,,,
1000389,82866.82,10,3899.93,63,20%,,,,
1000390,73982.95,5,3213.08,64,20%,,,,
1000391,69919.1,10,2716.14,71,20%,,,,
1000392,79269.83,9,3489.71,61,20%,,,,
1000393,80422.55,5,2544.17,58,0%,,,,
1000394,76313.66,6,3499.43,69,20%,,,,
1000395,77095.37,5,3430.12,58,20%,,,,
1000396,80875.93,10,3122.85,54,20%,,,,
1000397,74546.09,9,3887.09,52,20%,,,,
1000398,74248.67,4,3245.87,61,20%,,,,
1000399,73662.07,8,3877.38,54,20%,,,,
1000400,79384.92,10,3256.64,58,20%,,,,
1000401,67736.2,5,3593.77,30,20%,,,,
1000402,76634.95,13,3100.5,66,20%,,,,
1000403,79410.36,9,3719.39,54,20%,,,,
1000404,70247.68,8,2780.01,62,20%,,,,
1000405,74174.14,8,2724.89,61,20%,,,,
1000406,71274.68,6,3785.69,46,20%,,,,
1000407,72957.21,4,2895.37,45,20%,,,,
1000408,84787.03,4,3551.97,81,20%,,,,
1000409,69832.83,8,3300.75,57,20%,,,,
1000410,78181.95,11,3600.58,38,20%,,,,
1000411,76369.48,8,3164.53,66,20%,,,,
1000412,69522.52,10,3392.35,53,20%,,,,
1000413,75838.78,6,3186.06,76,20%,,,,
1000414,72587.97,6,3727.24,64,20%,,,,
1000415,73667.27,8,2757.12,46,20%,,,,
1000416,72926.14,7,3302.22,61,20%,,,,
1000417,71273.9,5,3376.94,62,20%,,,,
1000418,76974.76,5,3694.69,54,20%,,,,
1000419,71755.21,3,2695.17,70,20%,,,,
1000420,70571.22,6,3590.6,78,20%,,,,
1000421,75626.18,14,2418.98,52,0%,,,,
1000422,74553.12,13,3139.55,63,20%,,,,
1000423,78345.4,7,3113.16,69,20%,,,,
1000424,70330.31,9,3570.8,47,20%,,,,
1000425,73327.44,9,2773.18,50,20%,,,,
1000426,69403.23,5,3367.81,53,20%,,,,
1000427,70571.68,5,2898.79,51,20%,,,,
1000428,76842.42,8,3139.29,68,20%,,,,
1000429,72164.92,9,3345.63,72,20%,,,,
1000430,74984.82,6,3420.61,63,20%,,,,
1000431,74841.04,7,2059.03,41,0%,,,,
1000432,77182.71,9,3281.78,50,20%,,,,
1000433,72696.57,7,3067.64,51,20%,,,,
1000434,68568.77,7,2749.46,53,20%,,,,
1000435,78477.15,10,3380.28,45,20%,,,,
1000436,77025.33,10,3000.87,72,20%,,,,
1000437,76699.75,7,3326.55,59,20%,,,,
1000438,73619.89,11,3405.52,54,20%,,,,
1000439,76439.9,7,3182.52,63,20%,,,,
1000440,72850.16,1,3417.28,88,20%,,,,
1000441,69748.2,6,2883.6,67,20%,,,,
1000442,72911.5,9,2118.06,50,0%,,,,
1000443,80682.98,8,3642.65,48,20%,,,,
1000444,72037.19,7,3408.66,58,20%,,,,
1000445,79587.64,8,3121.96,39,20%,,,,
1000446,71898.9,9,2960.92,61,20%,,,,
1000447,68789.95,14,2841.84,77,20%,,,,
1000448,79492.32,6,2334.22,60,0%,,,,
1000449,73178.83,12,3167.61,72,20%,,,,
1000450,81126.11,6,4013.67,71,20%,,,,
1000451,77885.66,8,3026.78,43,20%,,,,
1000452,78992.69,5,2611.75,38,0%,,,,
1000453,72266.57,5,3260.91,50,20%,,,,
1000454,75972.23,7,3363.96,79,20%,,,,
1000455,73994.14,7,4002.25,55,20%,,,,
1000455,73994.14,7,4002.25,43,20%,,,,
1000456,75438.46,2,2830.08,51,20%,,,,
1000457,70581.1,8,3514.87,75,20%,,,,
1000458,73515.38,10,3315.95,79,20%,,,,
1000459,78292.6,11,2378.66,45,0%,,,,
1000460,73504.95,3,3662.16,57,20%,,,,
1000461,79078.53,7,3379.26,69,20%,,,,
1000462,75717.36,6,4476.15,81,20%,,,,
1000463,72863.87,1,2476.05,75,0%,,,,
1000464,72099,11,3230.79,44,20%,,,,
1000465,70622.75,9,3601.51,59,20%,,,,
1000466,79878.7,7,3090.62,67,20%,,,,
1000467,79313.99,7,3047.71,60,20%,,,,
1000468,78390.64,6,3176.69,51,20%,,,,
1000469,69897.45,0,3077.63,65,20%,,,,
1000470,71795.07,10,3997.84,62,20%,,,,
1000471,75121.01,7,3923.77,59,20%,,,,
1000472,72215.62,10,3281.7,65,20%,,,,
1000473,71036.8,9,2703.07,69,20%,,,,
1000474,79944.28,9,3622.02,38,20%,,,,
1000475,72821.23,7,3175.55,70,20%,,,,
1000476,77421.58,9,2855.65,73,20%,,,,
1000477,76280.34,3,3128.42,48,20%,,,,
1000478,78675.95,7,3219.31,65,20%,,,,
1000479,77084.38,4,3882.57,74,20%,,,,
1000480,70890.88,10,3655.28,43,20%,,,,
1000481,71470.61,5,3165.77,61,20%,,,,
1000482,76540.68,10,3930.09,72,20%,,,,
1000483,79715.5,8,2739.19,54,20%,,,,
1000484,76597.54,9,3506.7,63,20%,,,,
1000485,70406.46,7,3395.18,64,20%,,,,
1000486,73449.22,4,3654.37,55,20%,,,,
1000487,71205.2,4,3533.77,66,20%,,,,
1000488,78567.87,6,2974.28,55,20%,,,,
1000489,71138.06,14,3134.63,48,20%,,,,
1000490,75007.05,8,3808.61,60,20%,,,,
1000491,70505.81,8,2771.67,69,20%,,,,
1000492,83390.56,9,3141.63,26,20%,,,,
1000493,76569.27,9,3095.15,65,20%,,,,
1000494,76131.73,4,2771.29,52,20%,,,,
1000495,72300.13,8,3328.2,54,20%,,,,
1000496,69154.13,1,3450.82,51,20%,,,,
1000497,69886.57,8,3016.65,64,20%,,,,
1000498,72244.27,5,3023.58,61,20%,,,,
1000499,76796.36,10,3280.4,56,20%,,,,
1000500,71723.09,8,3334.9,98,20%,,,,
1000501,72050.43,5,2464.52,70,0%,,,,
1000502,77105.31,7,4032.07,58,20%,,,,
1000503,75065.95,10,2655.98,51,0%,,,,
1000504,70817.68,7,3134.8,44,20%,,,,
1000505,74960.67,8,4077.36,81,20%,,,,
1000506,72392.2,8,4086.84,68,20%,,,,
1000507,77376.17,6,3846.02,46,20%,,,,
1000508,76254.39,5,2992.47,47,20%,,,,
1000509,78927.32,11,3363.15,46,20%,,,,
1000510,77293.37,3,2624.93,64,0%,,,,
1000511,76375.7,9,3504.58,58,20%,,,,
1000512,68421.48,2,2878.97,39,20%,,,,
1000513,78715.12,8,3119.69,53,20%,,,,
1000514,80752.18,8,2470.53,67,0%,,,,
1000515,78775,7,3892.7,73,20%,,,,
1000516,78871.88,9,3456.96,62,20%,,,,
1000517,79242.98,7,3653.33,51,20%,,,,
1000518,77569.73,8,3234.01,59,20%,,,,
1000519,74157.62,7,3233.7,43,20%,,,,
1000520,70899.83,10,3069.29,49,20%,,,,
1000521,78508.4,11,3315.6,76,20%,,,,
1000522,70910.68,4,3512.86,73,20%,,,,
1000523,71973.93,10,3462.85,58,20%,,,,
1000524,78872.8,10,3358.78,63,20%,,,,
1000525,72978.92,11,3559.11,61,20%,,,,
1000526,77322.98,8,3262.46,24,20%,,,,
1000527,77172.01,2,3212.8,57,20%,,,,
1000528,76163.7,8,3152.76,61,20%,,,,
1000529,70103.16,4,3143.99,52,20%,,,,
1000530,77194.23,5,2935.14,55,20%,,,,
1000531,79055.11,8,3957.34,55,20%,,,,
1000532,75997.19,5,2854.3,72,20%,,,,
1000533,86771.44,9,3367.31,55,20%,,,,
1000534,77774.49,7,3546.14,58,20%,,,,
1000535,73106.91,13,2959.82,64,20%,,,,
1000536,77346.1,8,3255.15,52,20%,,,,
1000537,73459.47,6,3183.12,62,20%,,,,
1000538,75233.85,3,3600.17,57,20%,,,,
1000539,63568.27,8,3493.98,59,20%,,,,
1000540,70613.43,3,2653.25,55,0%,,,,
1000541,76124.09,8,4313.83,72,20%,,,,
1000542,76853.14,7,3453.66,53,20%,,,,
1000543,71706.32,6,3111.16,50,20%,,,,
1000544,77488.21,6,3082.26,51,20%,,,,
1000545,72463.56,3,3756.1,36,20%,,,,
1000546,71401.94,11,3485.63,62,20%,,,,
1000547,64985.32,9,3292.83,57,20%,,,,
1000548,73867.59,12,2982.4,63,20%,,,,
